row ID,row m/z,row retention time,20180626-Cfe-DMSO-14point784-14point788.mzML Peak area,20180626-Cfe-DMSO-14point584-14point587.mzML Peak area,20180626-Cfe-DMSO-14point-494-14point504.mzML Peak area,
67,818.4383310131559,13.683141666666668,8.199138755050004E7,5.330227179883121E8,0,
68,830.439170638794,10.781983333333333,3.594754203712498E7,0,0,
69,832.4181546694228,11.55065,4.5356275278500035E7,0,0,
70,844.4541612505212,11.872483333333333,2.0100833104799962E8,0,0,
72,846.4602352815143,11.872483333333333,2.1794014611312427E7,0,0,
73,862.4533140740051,14.844233333333333,1.0225284714337486E8,0,0,
77,203.1181582483809,7.059816666666666,0,5.994393055012511E7,0,
78,207.09906699473885,7.447266666666667,0,4.8848386893875085E7,5.4463373936124995E7,
79,207.09915418739837,8.574816666666667,0,3.609548833274998E7,3.2370996637625024E7,
80,208.94933201024196,4.6100666666666665,0,1.6687502238062512E7,0,
81,211.14425930178817,8.4338,0,9.44528022982502E7,1.7727508401300022E8,
82,213.23255076908254,7.903483333333333,0,6.022140408999999E7,0,
83,220.06049793942225,17.993499999999997,0,7.275936962500049E7,0,
84,220.09689113130236,16.5735,0,6.217888819937467E7,0,
85,221.1286245137547,7.1060333333333325,0,4.576704714365005E8,2.673091691930001E8,
86,221.1284107996065,7.903483333333333,0,1.2878000641125E7,0,
88,225.10946238519122,7.1060333333333325,0,1.1417394087075026E8,1.5592279199000007E8,
89,225.10952924186296,7.387083333333333,0,1.501864838039999E8,2.138093413177498E8,
90,225.1095356543674,8.574816666666667,0,3.825687629850015E7,4.524051052275023E7,
91,226.1801006300961,17.258333333333333,0,3.466865990437493E7,0,
92,226.9599196047758,4.6100666666666665,0,1.607077451631251E7,0,
93,229.1044741464203,7.126058333333333,0,1.6196923425750036E7,5.146228361475004E7,
95,243.12014988266787,7.1060333333333325,0,4.782727161312508E7,7.932620761275004E7,
96,255.1201941672592,7.447266666666667,0,9.45994610380626E7,1.0215428119524996E8,
99,269.1358395242206,7.447266666666667,0,4.400497404437507E7,5.438736292612496E7,
100,271.2058071295484,21.688166666666667,0,6.207441322562481E7,0,
101,273.1308472203879,7.1060333333333325,0,6.3862884276125066E7,6.573061785050005E7,
102,273.1672674985479,8.333124999999999,0,5.636491853406255E7,8.275052795968735E7,
104,277.1911154556408,7.22035,0,3.476004425687492E7,0,
106,283.11260013304803,5.720916666666667,0,2.9995228149562515E7,9.808290830887501E7,
107,287.14639578679356,7.427208333333333,0,8.157181301256257E7,9.308103273503119E7,
108,289.21619643166247,21.688166666666667,0,2.1406847690999925E8,0,
112,299.20070329480376,21.688166666666667,0,1.7426765257749936E8,0,
114,301.1622010779938,8.574816666666667,0,2.9180265436249886E7,3.622209938312513E7,
115,309.023407822267,12.642416666666666,0,1.672344515650006E8,0,
116,311.0214783034315,12.642416666666666,0,1.615534019960006E8,0,
117,317.15683851735844,7.447266666666667,0,7.021923186550006E7,6.5084966510999985E7,
118,317.211243705803,21.688166666666667,0,2.4134658275999916E8,0,
119,335.22177040537724,21.688166666666667,0,1.2663325953874962E8,0,
121,339.13411528616234,8.210958333333334,0,1.8469680813937485E7,1.4109916953087443E8,
122,349.6826248220575,13.846366666666666,0,4.8183465252375044E7,0,
123,356.2449128292596,10.12445,0,3.0314072061437637E7,0,
124,358.6879331011577,13.846366666666666,0,2.8544637818562414E7,0,
125,370.2590771836664,21.688166666666667,0,8.040693070499985E7,0,
126,372.2396929834646,7.246691666666667,0,6.748761678699997E7,5.113167010150006E7,
127,374.25500550033826,9.380275000000001,0,6.915049183225007E7,1.0513147993624982E8,
128,375.2142105720683,21.849,0,1.0916231733499965E8,0,
130,379.69373156635834,15.129833333333332,0,1.289117004020002E8,0,
132,386.93416595137353,17.258333333333333,0,1.064625711450006E8,0,
133,390.2500635791857,5.68185,0,1.0252708761018741E8,0,
